hub_id,company_name,sido,address,matched_address,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item,일반창고면적,냉동냉장창고면적,보관장소면적
WH_03337,케이디켐(주),충청북도,충청북도 보은군 보은읍 매화구인로 345 9동 옥내 보관소,충북 보은군 보은읍 매화구인로 345,36.4694583873719,127.766358695708,22915.0,22915000.0,2291500.0,Mixed,22915,0,0
WH_03338,(주)현곡물류,경기도,경기도 평택시 청북읍 청북로 161-5 (주)현곡물류,경기 평택시 청북읍 청북로 161-5,37.0528835986171,126.946654632879,6787.0,6787000.0,678700.0,Mixed,6787,0,0
WH_03339,동양CSI 서탄 공장,경기도,경기도 평택시 서탄면 수월암2길 59-19 동양CSI,경기 평택시 서탄면 수월암2길 59-19,37.1198683540482,127.029318090235,9980.0,9980000.0,998000.0,Mixed,9980,0,0
WH_03340,(주)와이티씨,전라남도,전라남도 여수시 여수산단4로 166-10 (월하동) ,전남 여수시 여수산단4로 166-10,34.8374402072823,127.671302302742,239.47,239470.0,23947.0,Mixed,239.47,0,0
WH_03341,(주)와이엘,충청남도,충청남도 천안시 동남구 성남로 59 ,충남 천안시 동남구 목천읍 성남로 59,36.7673497228005,127.209591307261,21352.0,21352000.0,2135200.0,Mixed,21352,0,0
WH_03342,서일이앤엠(주),경기도,경기도 화성시 삼성1로3길 16 (석우동),경기 화성시 동탄구 삼성1로3길 16,37.2223291138115,127.073629343157,1964.9,1964900.0,196490.0,Mixed,1964.9,0,0
WH_03343,솔브레인(주) 제8공장,충청남도,충청남도 공주시 공단길 58 (검상동) (검상동),충남 공주시 공단길 58,36.432600497314,127.070081651811,35513.1,35513100.0,3551310.0,Mixed,35513.1,0,0
WH_03344,(주)서정인터내셔날 제2천안물류센터,충청남도,충청남도 천안시 서북구 성거읍 성거길 238-11 (주)서정인터내셔날 제2천안물류센터,충남 천안시 서북구 성거읍 성거길 238-11,36.8859394570787,127.207025207955,12861.0,12861000.0,1286100.0,Mixed,12861,0,0
WH_03345,인성산업(주),인천광역시,인천광역시 중구 축항대로290번길 1 (신흥동3가) ,인천 중구 축항대로290번길 1,37.4478313877567,126.627813050462,12600.0,12600000.0,1260000.0,Mixed,12600,0,0
WH_03346,중흥로직스,전라남도,전라남도 여수시 산단중앙로 427 중흥로직스,전남 여수시 산단중앙로 427,34.8342746085778,127.675847847804,5058.3,5058300.0,505830.0,Mixed,5058.3,0,0
WH_03347,오일허브코리아여수(주),전라남도,전라남도 여수시 망양로 1100 (신덕동) 신덕동,,34.8679,126.991,293343.3,293343300.0,29334330.0,Mixed,293343.3,0,0
WH_03348,㈜엔씨켐 탄천공장,충청남도,충청남도 공주시 탄천면 탄천산업단지길 70 (주)엔씨켐 탄천공장 위험물저장소1,충남 공주시 탄천면 탄천산업단지길 70,36.3034554514024,127.059639488065,16977.0,16977000.0,1697700.0,Mixed,16977,0,0
WH_03349,와이엠티(주)지점,인천광역시,인천광역시 남동구 청능대로 337 와이엠티(주)지점,인천 남동구 청능대로 337,37.4015078879989,126.697369370327,6389.0,6389000.0,638900.0,Mixed,6389,0,0
WH_03350,서안켐텍 주식회사,경기도,경기도 양주시 남면 현석로 833 (경신리 93-1),경기 양주시 남면 현석로 833,37.8533637873269,126.985462644289,20880.0,20880000.0,2088000.0,Mixed,20880,0,0
WH_03351,(주)한일화학공사,인천광역시,인천광역시 서구 원당대로507번길 84-3 ,인천 서구 원당대로507번길 84-3,37.5947346353178,126.656690590201,10000.0,10000000.0,1000000.0,Mixed,10000,0,0
WH_03352,비아이디씨(주),부산광역시,부산광역시 강서구 신항로 96-72 비아이디씨(주) ,부산 강서구 신항로 96-72,35.0836364152489,128.82485436018,50052.0,50052000.0,5005200.0,Mixed,50052,0,0
WH_03353,대성물류(주),경기도,"경기도 화성시 남양읍 현대연구소로 31-7  , 31-8",,37.4138,127.5183,10351.0,10351000.0,1035100.0,Mixed,10351,0,0
WH_03354,솔브레인(주) 제7공장,충청남도,충청남도 공주시 공단길 14-48 (검상동),충남 공주시 공단길 14-48,36.4302924437058,127.075661180832,52163.0,52163000.0,5216300.0,Mixed,52163,0,0
WH_03355,국양로지텍 주식회사(전남지사),전라남도,"전라남도 광양시 항만3로 11 1층, 국양로지텍",전남 광양시 항만3로 11,34.8965190289657,127.639640721921,133774.5,133774500.0,13377450.0,Mixed,133774.5,0,0
WH_03356,(주)도곡물류창고,경기도,경기도 평택시 포승향남로 29-18 ,경기 평택시 포승읍 포승향남로 29-18,36.9827564001786,126.879155070026,8385.0,8385000.0,838500.0,Mixed,8385,0,0
WH_03357,미성통상(주)화성창고,경기도,경기도 화성시 장안면 어은리 산44 -,,37.4138,127.5183,15307.0,15307000.0,1530700.0,Mixed,15307,0,0
WH_03358,(주)지앤피로지텍,경상남도,경상남도 창원시 진해구 신항10로 137 지앤피로지텍,경남 창원시 진해구 신항10로 137,35.0934335663221,128.779976694064,28157.0,28157000.0,2815700.0,Mixed,28157,0,0
WH_03359,(주)한성탱크터미널,경기도,경기도 평택시 청북읍 청북중앙로 406 (주)한성탱크터미널,경기 평택시 청북읍 청북중앙로 406,37.048010397244,126.897205787809,9448.0,9448000.0,944800.0,Mixed,9448,0,0
WH_03360,제이엔에프 정안공장,충청남도,충청남도 공주시 정안면 정안농공단지길 32-172 -,충남 공주시 정안면 정안농공단지길 32-172,36.6190160119172,127.127677501247,6611.6,6611600.0,661160.0,Mixed,6611.6,0,0
WH_03361,(주)디더블유엘글로벌,경상남도,경상남도 창원시 진해구 신항9로 27 (주)디더블유엘글로벌,경남 창원시 진해구 신항9로 27,35.0905648713155,128.772061371431,79769.3,79769300.0,7976930.0,Mixed,79769.3,0,0
WH_03362,(주)삼연에스티,부산광역시,부산광역시 강서구 녹산산단382로50번길 40 주식회사 삼연에스티,부산 강서구 녹산산단382로50번길 40,35.0848614397915,128.854664272225,5284.0,5284000.0,528400.0,Mixed,5284,0,0
WH_03363,서광로지스(주),인천광역시,인천광역시 중구 축항대로118번길 114 서광로지스(주),인천 중구 축항대로118번길 114,37.4465859442748,126.603950016331,19093.0,19093000.0,1909300.0,Mixed,19093,0,0
WH_03364,서일이앤엠(주) 오산지점,경기도,경기도 오산시 황새로 221 (가수동),경기 오산시 황새로 221,37.1464567877524,127.061734454908,1481.0,1481000.0,148100.0,Mixed,1481,0,0
